age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,y,contact_cellular,contact_telephone,contact_unknown,duration_contact_cellular,duration_contact_telephone,duration_contact_unknown,above_median_duration,scaled_balance,housing_penalty,loan_penalty,default_penalty,job_score,FSI
56,retired,married,secondary,no,344.0,yes,no,15,may,221,1,-1,0,unknown,no,False,False,True,0,0,221,1,0.44811704145218095,-1,0,0,-1,-1.551882958547819
40,technician,single,secondary,no,591.0,no,yes,14,aug,87,6,-1,0,unknown,no,True,False,False,87,0,0,0,0.5150365754538065,0,-1,0,1,0.5150365754538067
60,retired,married,primary,no,5.0,no,no,26,aug,63,2,-1,0,unknown,no,True,False,False,63,0,0,0,0.3562720130046058,0,0,0,-1,-0.6437279869953942
28,admin.,single,secondary,no,177.0,yes,yes,6,may,150,1,-1,0,unknown,no,True,False,False,150,0,0,0,0.40287185044703333,-1,-1,0,0,-1.5971281495529666
37,management,married,tertiary,no,1315.0,no,no,30,jun,224,1,-1,0,unknown,yes,True,False,False,224,0,0,1,0.7111893795719317,0,0,0,2,2.7111893795719317
51,blue-collar,married,primary,no,1466.0,yes,no,7,may,406,2,-1,0,unknown,no,False,False,True,0,0,406,1,0.7520997019777838,-1,0,0,-1,-1.2479002980222162
41,technician,single,secondary,no,879.0,no,yes,7,jul,60,4,-1,0,unknown,no,True,False,False,60,0,0,0,0.5930642102411271,0,-1,0,1,0.5930642102411272
35,blue-collar,single,primary,no,293.0,yes,no,30,may,521,2,-1,0,unknown,no,False,False,True,0,0,521,1,0.4342996477919263,-1,0,0,-1,-1.5657003522080737
38,admin.,married,secondary,no,424.0,yes,no,17,apr,279,1,-1,0,unknown,no,True,False,False,279,0,0,1,0.4697913844486589,-1,0,0,0,-0.530208615551341
34,blue-collar,married,secondary,no,1831.0,yes,no,20,may,203,2,-1,0,unknown,no,False,False,True,0,0,203,1,0.8509888918992143,-1,0,0,-1,-1.1490111081007857
39,blue-collar,married,primary,no,111.0,no,yes,18,nov,201,2,-1,0,unknown,no,True,False,False,201,0,0,1,0.38499051747493906,0,-1,0,-1,-1.615009482525061
34,blue-collar,married,primary,no,455.0,yes,no,20,jun,372,3,-1,0,unknown,no,False,False,True,0,0,372,1,0.4781901923597941,-1,0,0,-1,-1.521809807640206
27,services,single,secondary,no,-195.0,yes,no,18,may,391,1,-1,0,unknown,yes,True,False,False,391,0,0,1,0.302086155513411,-1,0,0,0,-0.697913844486589
41,unknown,single,tertiary,no,1567.0,no,no,1,jul,291,2,-1,0,unknown,no,True,False,False,291,0,0,1,0.7794635600108372,0,0,0,0,0.7794635600108372
36,blue-collar,married,secondary,no,0.0,yes,no,6,may,337,1,-1,0,unknown,no,False,False,True,0,0,337,1,0.3549173665673259,-1,0,0,-1,-1.645082633432674
34,management,single,secondary,no,524.0,no,no,13,aug,9,1,-1,0,unknown,no,False,False,True,0,0,9,0,0.4968843131942563,0,0,0,2,2.4968843131942564
37,blue-collar,married,secondary,no,427.0,yes,no,9,jun,371,3,-1,0,unknown,no,False,False,True,0,0,371,1,0.4706041723110268,-1,0,0,-1,-1.5293958276889732
33,self-employed,married,tertiary,no,483.0,yes,no,3,feb,280,2,-1,0,unknown,no,True,False,False,280,0,0,1,0.4857762124085614,-1,0,0,1,0.4857762124085614
27,housemaid,married,primary,no,0.0,yes,no,23,jul,435,3,-1,0,unknown,no,True,False,False,435,0,0,1,0.3549173665673259,-1,0,0,-1,-1.645082633432674
58,management,married,tertiary,no,1517.0,yes,no,29,jul,7,5,-1,0,unknown,no,False,True,False,0,7,0,0,0.7659170956380384,-1,0,0,2,1.7659170956380383
32,self-employed,married,secondary,no,217.0,yes,yes,15,jul,317,5,-1,0,unknown,no,True,False,False,317,0,0,1,0.41370902194527226,-1,-1,0,1,-0.5862909780547279
25,student,single,secondary,no,331.0,no,no,26,aug,170,4,-1,0,unknown,yes,False,True,False,0,170,0,1,0.44459496071525334,0,0,0,1,1.4445949607152533
25,technician,single,secondary,no,505.0,no,yes,17,nov,386,2,-1,0,unknown,yes,True,False,False,386,0,0,1,0.4917366567325928,0,-1,0,1,0.4917366567325927
30,services,married,secondary,no,1808.0,yes,no,18,may,83,2,-1,0,unknown,no,True,False,False,83,0,0,0,0.8447575182877269,-1,0,0,0,-0.15524248171227306
45,blue-collar,married,primary,no,419.0,no,no,18,aug,113,4,-1,0,unknown,no,True,False,False,113,0,0,0,0.46843673801137903,0,0,0,-1,-0.531563261988621
24,management,single,secondary,no,119.0,no,no,15,sep,51,1,-1,0,unknown,no,False,False,True,0,0,51,0,0.38715795177458684,0,0,0,2,2.387157951774587
45,technician,single,secondary,no,586.0,no,yes,28,jul,32,3,-1,0,unknown,no,True,False,False,32,0,0,0,0.5136819290165267,0,-1,0,1,0.5136819290165267
41,blue-collar,married,primary,no,168.0,yes,no,18,nov,187,3,-1,0,unknown,no,True,False,False,187,0,0,1,0.4004334868599296,-1,0,0,-1,-1.5995665131400705
37,blue-collar,married,primary,no,0.0,yes,no,26,may,24,1,-1,0,unknown,no,False,False,True,0,0,24,0,0.3549173665673259,-1,0,0,-1,-1.645082633432674
43,blue-collar,married,unknown,yes,1420.0,yes,no,30,may,67,3,-1,0,unknown,no,False,False,True,0,0,67,0,0.739636954754809,-1,0,-2,-1,-3.260363045245191
27,technician,single,secondary,no,769.0,yes,no,9,may,317,2,-1,0,unknown,no,False,False,True,0,0,317,1,0.5632619886209699,-1,0,0,1,0.5632619886209698
34,management,single,tertiary,no,0.0,no,no,5,feb,71,1,-1,0,unknown,no,True,False,False,71,0,0,0,0.3549173665673259,0,0,0,2,2.3549173665673258
52,management,married,tertiary,no,-970.0,yes,no,4,feb,489,1,-1,0,unknown,yes,True,False,False,489,0,0,1,0.09211595773503116,-1,0,0,2,1.092115957735031
32,management,divorced,tertiary,no,948.0,no,no,12,aug,204,2,-1,0,unknown,no,True,False,False,204,0,0,1,0.6117583310755893,0,0,0,2,2.611758331075589
56,services,divorced,unknown,no,1877.0,yes,no,30,may,86,1,-1,0,unknown,no,False,False,True,0,0,86,0,0.8634516391221891,-1,0,0,0,-0.13654836087781086
31,management,single,tertiary,no,874.0,yes,no,18,nov,190,2,-1,0,unknown,no,True,False,False,190,0,0,1,0.5917095638038472,-1,0,0,2,1.591709563803847
42,admin.,married,secondary,no,323.0,yes,yes,8,may,280,2,-1,0,unknown,no,False,False,True,0,0,280,1,0.4424275264156055,-1,-1,0,0,-1.5575724735843945
48,technician,married,secondary,no,1152.0,yes,no,21,jul,168,5,-1,0,unknown,no,True,False,False,168,0,0,1,0.667027905716608,-1,0,0,1,0.667027905716608
37,technician,single,unknown,no,391.0,yes,no,8,may,103,3,-1,0,unknown,no,False,False,True,0,0,103,0,0.46085071796261173,-1,0,0,1,0.4608507179626118
41,entrepreneur,married,unknown,no,89.0,yes,no,6,may,333,2,-1,0,unknown,no,False,False,True,0,0,333,1,0.3790300731509076,-1,0,0,2,1.3790300731509078
36,management,single,tertiary,no,442.0,yes,yes,29,jul,102,3,-1,0,unknown,no,True,False,False,102,0,0,0,0.47466811162286643,-1,-1,0,2,0.4746681116228664
45,unemployed,divorced,primary,yes,-249.0,yes,yes,1,jul,92,1,-1,0,unknown,no,False,False,True,0,0,92,0,0.2874559739907884,-1,-1,-2,-2,-5.712544026009212
39,technician,married,secondary,no,501.0,no,no,26,may,289,1,-1,0,unknown,no,False,False,True,0,0,289,1,0.4906529395827689,0,0,0,1,1.4906529395827688
35,technician,divorced,secondary,no,308.0,no,no,22,aug,77,2,-1,0,unknown,no,True,False,False,77,0,0,0,0.43836358710376594,0,0,0,1,1.4383635871037659
27,self-employed,single,secondary,no,50.0,no,no,29,jan,168,1,-1,0,unknown,no,True,False,False,168,0,0,1,0.36846383094012464,0,0,0,1,1.3684638309401247
34,blue-collar,married,tertiary,no,20.0,no,no,4,oct,10,1,-1,0,unknown,no,False,False,True,0,0,10,0,0.3603359523164454,0,0,0,-1,-0.6396640476835547
41,admin.,single,secondary,no,-256.0,no,yes,9,may,35,3,-1,0,unknown,no,False,False,True,0,0,35,0,0.2855594689785966,0,-1,0,0,-0.7144405310214035
43,services,married,secondary,no,978.0,yes,yes,26,may,82,2,-1,0,unknown,no,False,False,True,0,0,82,0,0.6198862096992684,-1,-1,0,0,-1.3801137903007317
31,admin.,single,secondary,no,2104.0,yes,no,3,jun,455,1,-1,0,unknown,no,False,False,True,0,0,455,1,0.9249525873746952,-1,0,0,0,-0.07504741262530479
48,technician,married,tertiary,no,310.0,no,no,6,may,135,1,-1,0,unknown,no,False,False,True,0,0,135,0,0.43890544567867784,0,0,0,1,1.4389054456786778
32,blue-collar,single,secondary,no,1143.0,yes,yes,10,jul,412,1,-1,0,unknown,no,True,False,False,412,0,0,1,0.6645895421295042,-1,-1,0,-1,-2.3354104578704957
37,management,single,tertiary,no,37.0,no,no,28,jan,253,2,-1,0,unknown,no,True,False,False,253,0,0,1,0.36494175020319697,0,0,0,2,2.364941750203197
32,admin.,married,secondary,no,1031.0,yes,no,17,jul,84,1,-1,0,unknown,no,True,False,False,84,0,0,0,0.6342454619344351,-1,0,0,0,-0.3657545380655649
43,admin.,married,secondary,no,-465.0,yes,yes,23,jul,166,1,-1,0,unknown,no,True,False,False,166,0,0,1,0.228935247900298,-1,-1,0,0,-1.771064752099702
37,unknown,married,unknown,no,1699.0,no,no,9,jun,63,1,-1,0,unknown,no,False,False,True,0,0,63,0,0.8152262259550257,0,0,0,0,0.8152262259550257
32,services,single,secondary,no,0.0,no,yes,11,jul,264,2,-1,0,unknown,no,True,False,False,264,0,0,1,0.3549173665673259,0,-1,0,0,-0.645082633432674
40,admin.,divorced,secondary,no,6.0,no,no,11,jun,140,1,-1,0,unknown,no,False,False,True,0,0,140,0,0.3565429422920618,0,0,0,0,0.3565429422920618
34,services,married,secondary,no,-62.0,yes,no,16,jun,109,3,-1,0,unknown,no,False,False,True,0,0,109,0,0.3381197507450555,-1,0,0,0,-0.6618802492549445
34,self-employed,married,tertiary,no,1972.0,yes,no,23,jul,61,2,-1,0,unknown,no,True,False,False,61,0,0,0,0.8891899214305067,-1,0,0,1,0.8891899214305066
56,retired,married,secondary,no,-1206.0,yes,no,15,jun,382,2,-1,0,unknown,yes,True,False,False,382,0,0,1,0.028176645895421296,-1,0,0,-1,-1.9718233541045787
49,blue-collar,married,primary,no,0.0,yes,yes,23,jul,97,6,-1,0,unknown,no,False,True,False,0,97,0,0,0.3549173665673259,-1,-1,0,-1,-2.645082633432674
30,management,single,tertiary,no,1372.0,no,no,20,nov,240,2,-1,0,unknown,no,True,False,False,240,0,0,1,0.7266323489569222,0,0,0,2,2.7266323489569224
36,services,married,secondary,no,1981.0,no,no,17,jun,48,2,-1,0,unknown,no,False,False,True,0,0,48,0,0.8916282850176104,0,0,0,0,0.8916282850176104
57,retired,divorced,secondary,no,39.0,yes,no,30,jul,354,3,-1,0,unknown,no,True,False,False,354,0,0,1,0.3654836087781089,-1,0,0,-1,-1.634516391221891
38,services,married,secondary,no,1.0,no,yes,21,nov,152,2,-1,0,unknown,no,True,False,False,152,0,0,0,0.3551882958547819,0,-1,0,0,-0.6448117041452182
42,technician,married,tertiary,no,782.0,no,no,3,apr,285,1,-1,0,unknown,no,True,False,False,285,0,0,1,0.5667840693578976,0,0,0,1,1.5667840693578976
48,technician,married,secondary,no,1526.0,no,no,6,aug,273,2,-1,0,unknown,no,True,False,False,273,0,0,1,0.7683554592251423,0,0,0,1,1.7683554592251423
29,blue-collar,single,tertiary,no,455.0,no,no,21,apr,403,1,-1,0,unknown,yes,False,True,False,0,403,0,1,0.4781901923597941,0,0,0,-1,-0.5218098076402059
45,technician,single,tertiary,no,0.0,yes,no,18,nov,139,2,-1,0,unknown,no,True,False,False,139,0,0,0,0.3549173665673259,-1,0,0,1,0.354917366567326
42,technician,married,secondary,no,2030.0,yes,yes,9,jul,196,1,-1,0,unknown,no,True,False,False,196,0,0,1,0.9049038201029531,-1,-1,0,1,-0.09509617989704688
25,blue-collar,single,secondary,no,-350.0,yes,no,23,jun,95,3,-1,0,unknown,no,False,False,True,0,0,95,0,0.260092115957735,-1,0,0,-1,-1.739907884042265
31,management,married,tertiary,yes,-253.0,no,no,12,aug,220,4,-1,0,unknown,no,True,False,False,220,0,0,1,0.2863722568409645,0,0,-2,2,0.28637225684096457
45,technician,married,secondary,no,1410.0,no,no,11,may,71,2,-1,0,unknown,no,True,False,False,71,0,0,0,0.7369276618802493,0,0,0,1,1.7369276618802494
49,services,married,secondary,no,400.0,no,no,21,aug,151,3,-1,0,unknown,no,True,False,False,151,0,0,0,0.46328908154971554,0,0,0,0,0.46328908154971554
53,retired,married,tertiary,no,-22.0,yes,no,31,jul,20,3,-1,0,unknown,no,True,False,False,20,0,0,0,0.3489569222432945,-1,0,0,-1,-1.6510430777567056
49,blue-collar,married,primary,no,365.0,no,no,26,may,59,2,-1,0,unknown,no,False,False,True,0,0,59,0,0.45380655648875645,0,0,0,-1,-0.5461934435112435
54,management,married,primary,no,1691.0,yes,no,20,nov,186,1,-1,0,unknown,no,True,False,False,186,0,0,1,0.813058791655378,-1,0,0,2,1.813058791655378
32,services,single,secondary,no,406.0,yes,no,6,may,227,1,-1,0,unknown,no,False,False,True,0,0,227,1,0.46491465727445136,-1,0,0,0,-0.5350853427255486
33,technician,married,secondary,no,-204.0,no,no,15,may,297,3,-1,0,unknown,no,True,False,False,297,0,0,1,0.29964779192630725,0,0,0,1,1.2996477919263072
36,blue-collar,married,primary,no,123.0,yes,no,18,may,9,1,-1,0,unknown,no,True,False,False,9,0,0,0,0.38824166892441075,-1,0,0,-1,-1.6117583310755892
52,unknown,married,secondary,no,142.0,no,no,25,aug,112,6,-1,0,unknown,no,True,False,False,112,0,0,0,0.39338932538607424,0,0,0,0,0.39338932538607424
48,technician,divorced,secondary,yes,20.0,no,no,27,aug,145,3,-1,0,unknown,no,True,False,False,145,0,0,0,0.3603359523164454,0,0,-2,1,-0.6396640476835547
57,technician,married,unknown,no,206.0,yes,no,5,may,216,3,-1,0,unknown,no,False,False,True,0,0,216,1,0.41072879978325655,-1,0,0,1,0.4107287997832565
51,unemployed,married,tertiary,no,1634.0,yes,no,22,jul,168,4,-1,0,unknown,no,True,False,False,168,0,0,1,0.7976158222703874,-1,0,0,-2,-2.2023841777296127
27,admin.,married,secondary,no,-247.0,yes,yes,4,jun,344,2,-1,0,unknown,no,False,False,True,0,0,344,1,0.28799783256570033,-1,-1,0,0,-1.7120021674342998
42,management,married,secondary,no,-189.0,yes,no,12,may,247,2,-1,0,unknown,no,False,False,True,0,0,247,1,0.3037117312381468,-1,0,0,2,1.3037117312381468
32,unemployed,single,secondary,no,0.0,no,no,27,may,123,2,-1,0,unknown,no,True,False,False,123,0,0,0,0.3549173665673259,0,0,0,-2,-1.645082633432674
42,management,married,tertiary,no,484.0,yes,no,11,jul,144,2,-1,0,unknown,no,True,False,False,144,0,0,0,0.4860471416960173,-1,0,0,2,1.4860471416960173
31,management,married,tertiary,no,395.0,yes,no,9,feb,155,3,-1,0,unknown,no,True,False,False,155,0,0,0,0.46193443511243565,-1,0,0,2,1.4619344351124357
32,management,married,tertiary,no,2349.0,no,no,14,aug,134,5,-1,0,unknown,no,True,False,False,134,0,0,0,0.9913302628014088,0,0,0,2,2.9913302628014087
55,blue-collar,divorced,primary,no,410.0,no,yes,11,jul,221,2,-1,0,unknown,no,True,False,False,221,0,0,1,0.4659983744242753,0,-1,0,-1,-1.5340016255757247
46,blue-collar,married,primary,no,222.0,no,no,8,aug,71,2,-1,0,unknown,no,True,False,False,71,0,0,0,0.41506366838255215,0,0,0,-1,-0.5849363316174478
55,blue-collar,married,secondary,no,989.0,yes,yes,23,may,246,4,-1,0,unknown,no,False,False,True,0,0,246,1,0.6228664318612842,-1,-1,0,-1,-2.377133568138716
34,management,married,tertiary,no,415.0,no,yes,23,jul,361,2,-1,0,unknown,no,True,False,False,361,0,0,1,0.4673530208615551,0,-1,0,2,1.4673530208615553
28,unemployed,single,secondary,no,16.0,no,no,12,aug,119,4,-1,0,unknown,no,True,False,False,119,0,0,0,0.3592522351666215,0,0,0,-2,-1.6407477648333786
54,housemaid,married,secondary,no,209.0,yes,yes,25,jul,97,1,-1,0,unknown,no,True,False,False,97,0,0,0,0.4115415876456245,-1,-1,0,-1,-2.5884584123543757
32,technician,single,secondary,no,0.0,no,no,26,aug,181,2,-1,0,unknown,no,True,False,False,181,0,0,1,0.3549173665673259,0,0,0,1,1.354917366567326
40,self-employed,married,secondary,no,1516.0,yes,yes,23,may,373,1,-1,0,unknown,no,False,False,True,0,0,373,1,0.7656461663505825,-1,-1,0,1,-0.23435383364941753
29,student,single,secondary,no,872.0,yes,no,7,may,230,1,-1,0,unknown,no,False,False,True,0,0,230,1,0.5911677052289352,-1,0,0,1,0.5911677052289352
33,technician,married,tertiary,no,-988.0,yes,yes,15,jul,83,3,-1,0,unknown,no,True,False,False,83,0,0,0,0.08723923056082362,-1,-1,0,1,-0.9127607694391764
56,services,divorced,secondary,no,1007.0,no,no,29,jul,88,6,-1,0,unknown,no,True,False,False,88,0,0,0,0.6277431590354917,0,0,0,0,0.6277431590354917
24,blue-collar,single,secondary,no,174.0,yes,yes,18,may,487,1,-1,0,unknown,yes,True,False,False,487,0,0,1,0.4020590625846654,-1,-1,0,-1,-2.5979409374153346
35,self-employed,married,secondary,no,524.0,yes,no,21,nov,484,4,-1,0,unknown,no,True,False,False,484,0,0,1,0.4968843131942563,-1,0,0,1,0.4968843131942564
35,blue-collar,single,tertiary,no,0.0,yes,no,21,jul,262,4,-1,0,unknown,no,True,False,False,262,0,0,1,0.3549173665673259,-1,0,0,-1,-1.645082633432674
38,technician,single,tertiary,no,0.0,no,no,28,aug,247,2,-1,0,unknown,no,True,False,False,247,0,0,1,0.3549173665673259,0,0,0,1,1.354917366567326
51,blue-collar,divorced,primary,no,37.0,yes,no,13,may,341,1,-1,0,unknown,no,True,False,False,341,0,0,1,0.36494175020319697,-1,0,0,-1,-1.6350582497968031
59,self-employed,married,tertiary,no,593.0,no,no,13,may,64,2,-1,0,unknown,no,False,False,True,0,0,64,0,0.5155784340287185,0,0,0,1,1.5155784340287184
32,blue-collar,married,secondary,no,1148.0,yes,no,20,apr,121,1,-1,0,unknown,no,True,False,False,121,0,0,0,0.6659441885667841,-1,0,0,-1,-1.334055811433216
42,admin.,divorced,secondary,no,63.0,no,no,16,may,88,6,-1,0,unknown,no,False,False,True,0,0,88,0,0.3719859116770523,0,0,0,0,0.3719859116770523
40,student,married,secondary,no,260.0,no,no,20,jun,197,6,-1,0,unknown,no,False,False,True,0,0,197,1,0.4253589813058792,0,0,0,1,1.4253589813058791
28,technician,single,tertiary,no,2269.0,yes,no,9,may,331,1,-1,0,unknown,no,False,False,True,0,0,331,1,0.9696559198049309,-1,0,0,1,0.9696559198049308
47,admin.,married,secondary,no,1060.0,yes,no,6,jun,83,3,-1,0,unknown,no,False,False,True,0,0,83,0,0.6421024112706584,-1,0,0,0,-0.35789758872934163
41,management,married,tertiary,no,49.0,yes,no,17,jul,312,5,-1,0,unknown,no,True,False,False,312,0,0,1,0.36819290165266866,-1,0,0,2,1.3681929016526686
47,blue-collar,married,secondary,no,480.0,yes,no,28,may,211,2,-1,0,unknown,no,False,False,True,0,0,211,1,0.48496342454619346,-1,0,0,-1,-1.5150365754538067
29,management,married,tertiary,no,451.0,no,no,28,jan,451,1,-1,0,unknown,no,True,False,False,451,0,0,1,0.4771064752099702,0,0,0,2,2.47710647520997
32,blue-collar,married,secondary,no,759.0,yes,no,9,apr,317,5,-1,0,unknown,yes,True,False,False,317,0,0,1,0.5605526957464102,-1,0,0,-1,-1.4394473042535898
35,blue-collar,married,secondary,no,1287.0,yes,no,14,jul,330,2,-1,0,unknown,no,True,False,False,330,0,0,1,0.7036033595231644,-1,0,0,-1,-1.2963966404768357
56,management,married,unknown,no,353.0,no,yes,25,jul,171,2,-1,0,unknown,no,True,False,False,171,0,0,1,0.45055540503928476,0,-1,0,2,1.4505554050392848
56,technician,married,secondary,no,205.0,no,yes,23,jul,442,2,-1,0,unknown,no,True,False,False,442,0,0,1,0.41045787049580057,0,-1,0,1,0.4104578704958006
