age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,y,contact_cellular,contact_telephone,contact_unknown,duration_contact_cellular,duration_contact_telephone,duration_contact_unknown,above_median_duration
26,blue-collar,married,primary,no,0.0,yes,no,21,may,425,1,no,False,False,True,0,0,425,1
32,entrepreneur,single,primary,yes,-849.0,yes,yes,4,feb,204,1,no,True,False,False,204,0,0,1
38,technician,single,secondary,no,50.0,no,no,29,aug,98,2,no,True,False,False,98,0,0,0
53,blue-collar,married,secondary,no,2231.0,yes,no,14,jul,272,3,no,True,False,False,272,0,0,1
57,management,married,secondary,no,82.0,no,yes,4,feb,140,1,no,False,True,False,0,140,0,1
33,self-employed,single,tertiary,no,2155.0,no,no,17,nov,295,1,no,True,False,False,295,0,0,1
36,retired,single,secondary,no,101.0,yes,yes,26,may,314,1,no,False,False,True,0,0,314,1
63,retired,married,secondary,no,415.0,yes,no,7,oct,323,1,no,True,False,False,323,0,0,1
48,services,married,secondary,no,1355.0,no,no,16,jul,134,2,no,True,False,False,134,0,0,0
31,services,married,secondary,no,338.0,yes,no,28,jan,155,1,no,True,False,False,155,0,0,0
29,technician,married,secondary,no,444.0,yes,no,21,jul,130,4,no,True,False,False,130,0,0,0
32,technician,single,tertiary,no,360.0,no,no,19,nov,164,2,no,True,False,False,164,0,0,0
42,entrepreneur,divorced,tertiary,yes,2.0,yes,no,5,may,380,1,no,False,False,True,0,0,380,1
41,services,married,tertiary,no,412.0,yes,no,3,jun,154,5,no,False,False,True,0,0,154,0
56,retired,married,secondary,no,344.0,yes,no,15,may,221,1,no,False,False,True,0,0,221,1
40,technician,single,secondary,no,591.0,no,yes,14,aug,87,6,no,True,False,False,87,0,0,0
60,retired,married,primary,no,5.0,no,no,26,aug,63,2,no,True,False,False,63,0,0,0
28,admin.,single,secondary,no,177.0,yes,yes,6,may,150,1,no,True,False,False,150,0,0,0
37,management,married,tertiary,no,1315.0,no,no,30,jun,224,1,yes,True,False,False,224,0,0,1
51,blue-collar,married,primary,no,1466.0,yes,no,7,may,406,2,no,False,False,True,0,0,406,1
41,technician,single,secondary,no,879.0,no,yes,7,jul,60,4,no,True,False,False,60,0,0,0
35,blue-collar,single,primary,no,293.0,yes,no,30,may,521,2,no,False,False,True,0,0,521,1
38,admin.,married,secondary,no,424.0,yes,no,17,apr,279,1,no,True,False,False,279,0,0,1
34,blue-collar,married,secondary,no,1831.0,yes,no,20,may,203,2,no,False,False,True,0,0,203,1
39,blue-collar,married,primary,no,111.0,no,yes,18,nov,201,2,no,True,False,False,201,0,0,1
34,blue-collar,married,primary,no,455.0,yes,no,20,jun,372,3,no,False,False,True,0,0,372,1
27,services,single,secondary,no,-195.0,yes,no,18,may,391,1,yes,True,False,False,391,0,0,1
41,unknown,single,tertiary,no,1567.0,no,no,1,jul,291,2,no,True,False,False,291,0,0,1
36,blue-collar,married,secondary,no,0.0,yes,no,6,may,337,1,no,False,False,True,0,0,337,1
34,management,single,secondary,no,524.0,no,no,13,aug,9,1,no,False,False,True,0,0,9,0
37,blue-collar,married,secondary,no,427.0,yes,no,9,jun,371,3,no,False,False,True,0,0,371,1
33,self-employed,married,tertiary,no,483.0,yes,no,3,feb,280,2,no,True,False,False,280,0,0,1
27,housemaid,married,primary,no,0.0,yes,no,23,jul,435,3,no,True,False,False,435,0,0,1
58,management,married,tertiary,no,1517.0,yes,no,29,jul,7,5,no,False,True,False,0,7,0,0
32,self-employed,married,secondary,no,217.0,yes,yes,15,jul,317,5,no,True,False,False,317,0,0,1
25,student,single,secondary,no,331.0,no,no,26,aug,170,4,yes,False,True,False,0,170,0,1
25,technician,single,secondary,no,505.0,no,yes,17,nov,386,2,yes,True,False,False,386,0,0,1
30,services,married,secondary,no,1808.0,yes,no,18,may,83,2,no,True,False,False,83,0,0,0
45,blue-collar,married,primary,no,419.0,no,no,18,aug,113,4,no,True,False,False,113,0,0,0
24,management,single,secondary,no,119.0,no,no,15,sep,51,1,no,False,False,True,0,0,51,0
45,technician,single,secondary,no,586.0,no,yes,28,jul,32,3,no,True,False,False,32,0,0,0
41,blue-collar,married,primary,no,168.0,yes,no,18,nov,187,3,no,True,False,False,187,0,0,1
37,blue-collar,married,primary,no,0.0,yes,no,26,may,24,1,no,False,False,True,0,0,24,0
43,blue-collar,married,unknown,yes,1420.0,yes,no,30,may,67,3,no,False,False,True,0,0,67,0
27,technician,single,secondary,no,769.0,yes,no,9,may,317,2,no,False,False,True,0,0,317,1
34,management,single,tertiary,no,0.0,no,no,5,feb,71,1,no,True,False,False,71,0,0,0
52,management,married,tertiary,no,-970.0,yes,no,4,feb,489,1,yes,True,False,False,489,0,0,1
32,management,divorced,tertiary,no,948.0,no,no,12,aug,204,2,no,True,False,False,204,0,0,1
56,services,divorced,unknown,no,1877.0,yes,no,30,may,86,1,no,False,False,True,0,0,86,0
31,management,single,tertiary,no,874.0,yes,no,18,nov,190,2,no,True,False,False,190,0,0,1
42,admin.,married,secondary,no,323.0,yes,yes,8,may,280,2,no,False,False,True,0,0,280,1
48,technician,married,secondary,no,1152.0,yes,no,21,jul,168,5,no,True,False,False,168,0,0,1
37,technician,single,unknown,no,391.0,yes,no,8,may,103,3,no,False,False,True,0,0,103,0
41,entrepreneur,married,unknown,no,89.0,yes,no,6,may,333,2,no,False,False,True,0,0,333,1
36,management,single,tertiary,no,442.0,yes,yes,29,jul,102,3,no,True,False,False,102,0,0,0
45,unemployed,divorced,primary,yes,-249.0,yes,yes,1,jul,92,1,no,False,False,True,0,0,92,0
39,technician,married,secondary,no,501.0,no,no,26,may,289,1,no,False,False,True,0,0,289,1
35,technician,divorced,secondary,no,308.0,no,no,22,aug,77,2,no,True,False,False,77,0,0,0
27,self-employed,single,secondary,no,50.0,no,no,29,jan,168,1,no,True,False,False,168,0,0,1
34,blue-collar,married,tertiary,no,20.0,no,no,4,oct,10,1,no,False,False,True,0,0,10,0
41,admin.,single,secondary,no,-256.0,no,yes,9,may,35,3,no,False,False,True,0,0,35,0
43,services,married,secondary,no,978.0,yes,yes,26,may,82,2,no,False,False,True,0,0,82,0
31,admin.,single,secondary,no,2104.0,yes,no,3,jun,455,1,no,False,False,True,0,0,455,1
48,technician,married,tertiary,no,310.0,no,no,6,may,135,1,no,False,False,True,0,0,135,0
32,blue-collar,single,secondary,no,1143.0,yes,yes,10,jul,412,1,no,True,False,False,412,0,0,1
37,management,single,tertiary,no,37.0,no,no,28,jan,253,2,no,True,False,False,253,0,0,1
32,admin.,married,secondary,no,1031.0,yes,no,17,jul,84,1,no,True,False,False,84,0,0,0
43,admin.,married,secondary,no,-465.0,yes,yes,23,jul,166,1,no,True,False,False,166,0,0,1
37,unknown,married,unknown,no,1699.0,no,no,9,jun,63,1,no,False,False,True,0,0,63,0
32,services,single,secondary,no,0.0,no,yes,11,jul,264,2,no,True,False,False,264,0,0,1
40,admin.,divorced,secondary,no,6.0,no,no,11,jun,140,1,no,False,False,True,0,0,140,0
34,services,married,secondary,no,-62.0,yes,no,16,jun,109,3,no,False,False,True,0,0,109,0
34,self-employed,married,tertiary,no,1972.0,yes,no,23,jul,61,2,no,True,False,False,61,0,0,0
56,retired,married,secondary,no,-1206.0,yes,no,15,jun,382,2,yes,True,False,False,382,0,0,1
49,blue-collar,married,primary,no,0.0,yes,yes,23,jul,97,6,no,False,True,False,0,97,0,0
30,management,single,tertiary,no,1372.0,no,no,20,nov,240,2,no,True,False,False,240,0,0,1
36,services,married,secondary,no,1981.0,no,no,17,jun,48,2,no,False,False,True,0,0,48,0
57,retired,divorced,secondary,no,39.0,yes,no,30,jul,354,3,no,True,False,False,354,0,0,1
38,services,married,secondary,no,1.0,no,yes,21,nov,152,2,no,True,False,False,152,0,0,0
42,technician,married,tertiary,no,782.0,no,no,3,apr,285,1,no,True,False,False,285,0,0,1
48,technician,married,secondary,no,1526.0,no,no,6,aug,273,2,no,True,False,False,273,0,0,1
29,blue-collar,single,tertiary,no,455.0,no,no,21,apr,403,1,yes,False,True,False,0,403,0,1
45,technician,single,tertiary,no,0.0,yes,no,18,nov,139,2,no,True,False,False,139,0,0,0
42,technician,married,secondary,no,2030.0,yes,yes,9,jul,196,1,no,True,False,False,196,0,0,1
25,blue-collar,single,secondary,no,-350.0,yes,no,23,jun,95,3,no,False,False,True,0,0,95,0
31,management,married,tertiary,yes,-253.0,no,no,12,aug,220,4,no,True,False,False,220,0,0,1
45,technician,married,secondary,no,1410.0,no,no,11,may,71,2,no,True,False,False,71,0,0,0
49,services,married,secondary,no,400.0,no,no,21,aug,151,3,no,True,False,False,151,0,0,0
53,retired,married,tertiary,no,-22.0,yes,no,31,jul,20,3,no,True,False,False,20,0,0,0
49,blue-collar,married,primary,no,365.0,no,no,26,may,59,2,no,False,False,True,0,0,59,0
54,management,married,primary,no,1691.0,yes,no,20,nov,186,1,no,True,False,False,186,0,0,1
32,services,single,secondary,no,406.0,yes,no,6,may,227,1,no,False,False,True,0,0,227,1
33,technician,married,secondary,no,-204.0,no,no,15,may,297,3,no,True,False,False,297,0,0,1
36,blue-collar,married,primary,no,123.0,yes,no,18,may,9,1,no,True,False,False,9,0,0,0
52,unknown,married,secondary,no,142.0,no,no,25,aug,112,6,no,True,False,False,112,0,0,0
48,technician,divorced,secondary,yes,20.0,no,no,27,aug,145,3,no,True,False,False,145,0,0,0
57,technician,married,unknown,no,206.0,yes,no,5,may,216,3,no,False,False,True,0,0,216,1
51,unemployed,married,tertiary,no,1634.0,yes,no,22,jul,168,4,no,True,False,False,168,0,0,1
27,admin.,married,secondary,no,-247.0,yes,yes,4,jun,344,2,no,False,False,True,0,0,344,1
42,management,married,secondary,no,-189.0,yes,no,12,may,247,2,no,False,False,True,0,0,247,1
32,unemployed,single,secondary,no,0.0,no,no,27,may,123,2,no,True,False,False,123,0,0,0
42,management,married,tertiary,no,484.0,yes,no,11,jul,144,2,no,True,False,False,144,0,0,0
31,management,married,tertiary,no,395.0,yes,no,9,feb,155,3,no,True,False,False,155,0,0,0
32,management,married,tertiary,no,2349.0,no,no,14,aug,134,5,no,True,False,False,134,0,0,0
55,blue-collar,divorced,primary,no,410.0,no,yes,11,jul,221,2,no,True,False,False,221,0,0,1
46,blue-collar,married,primary,no,222.0,no,no,8,aug,71,2,no,True,False,False,71,0,0,0
55,blue-collar,married,secondary,no,989.0,yes,yes,23,may,246,4,no,False,False,True,0,0,246,1
34,management,married,tertiary,no,415.0,no,yes,23,jul,361,2,no,True,False,False,361,0,0,1
28,unemployed,single,secondary,no,16.0,no,no,12,aug,119,4,no,True,False,False,119,0,0,0
54,housemaid,married,secondary,no,209.0,yes,yes,25,jul,97,1,no,True,False,False,97,0,0,0
32,technician,single,secondary,no,0.0,no,no,26,aug,181,2,no,True,False,False,181,0,0,1
40,self-employed,married,secondary,no,1516.0,yes,yes,23,may,373,1,no,False,False,True,0,0,373,1
29,student,single,secondary,no,872.0,yes,no,7,may,230,1,no,False,False,True,0,0,230,1
33,technician,married,tertiary,no,-988.0,yes,yes,15,jul,83,3,no,True,False,False,83,0,0,0
56,services,divorced,secondary,no,1007.0,no,no,29,jul,88,6,no,True,False,False,88,0,0,0
24,blue-collar,single,secondary,no,174.0,yes,yes,18,may,487,1,yes,True,False,False,487,0,0,1
35,self-employed,married,secondary,no,524.0,yes,no,21,nov,484,4,no,True,False,False,484,0,0,1
35,blue-collar,single,tertiary,no,0.0,yes,no,21,jul,262,4,no,True,False,False,262,0,0,1
38,technician,single,tertiary,no,0.0,no,no,28,aug,247,2,no,True,False,False,247,0,0,1
51,blue-collar,divorced,primary,no,37.0,yes,no,13,may,341,1,no,True,False,False,341,0,0,1
59,self-employed,married,tertiary,no,593.0,no,no,13,may,64,2,no,False,False,True,0,0,64,0
32,blue-collar,married,secondary,no,1148.0,yes,no,20,apr,121,1,no,True,False,False,121,0,0,0
42,admin.,divorced,secondary,no,63.0,no,no,16,may,88,6,no,False,False,True,0,0,88,0
40,student,married,secondary,no,260.0,no,no,20,jun,197,6,no,False,False,True,0,0,197,1
28,technician,single,tertiary,no,2269.0,yes,no,9,may,331,1,no,False,False,True,0,0,331,1
47,admin.,married,secondary,no,1060.0,yes,no,6,jun,83,3,no,False,False,True,0,0,83,0
41,management,married,tertiary,no,49.0,yes,no,17,jul,312,5,no,True,False,False,312,0,0,1
47,blue-collar,married,secondary,no,480.0,yes,no,28,may,211,2,no,False,False,True,0,0,211,1
29,management,married,tertiary,no,451.0,no,no,28,jan,451,1,no,True,False,False,451,0,0,1
32,blue-collar,married,secondary,no,759.0,yes,no,9,apr,317,5,yes,True,False,False,317,0,0,1
35,blue-collar,married,secondary,no,1287.0,yes,no,14,jul,330,2,no,True,False,False,330,0,0,1
56,management,married,unknown,no,353.0,no,yes,25,jul,171,2,no,True,False,False,171,0,0,1
56,technician,married,secondary,no,205.0,no,yes,23,jul,442,2,no,True,False,False,442,0,0,1
38,unemployed,married,primary,no,1147.0,yes,yes,8,may,249,5,no,False,False,True,0,0,249,1
38,admin.,married,tertiary,no,605.0,no,no,18,nov,147,2,no,True,False,False,147,0,0,0
55,management,married,unknown,no,559.0,no,no,28,jan,271,2,no,True,False,False,271,0,0,1
43,management,married,tertiary,no,2.0,no,yes,20,aug,472,2,no,True,False,False,472,0,0,1
30,blue-collar,married,primary,no,1317.0,yes,no,21,may,395,2,no,False,False,True,0,0,395,1
46,blue-collar,married,secondary,no,182.0,no,no,4,feb,56,1,no,True,False,False,56,0,0,0
26,unemployed,single,secondary,no,1064.0,no,no,31,may,113,1,no,False,False,True,0,0,113,0
37,blue-collar,married,secondary,no,-67.0,no,no,2,feb,157,1,no,True,False,False,157,0,0,0
60,self-employed,single,tertiary,no,179.0,no,yes,29,jul,79,4,no,True,False,False,79,0,0,0
47,blue-collar,married,primary,no,214.0,yes,yes,9,jun,168,1,no,False,False,True,0,0,168,0
51,unemployed,married,secondary,no,1760.0,no,yes,19,nov,162,1,no,True,False,False,162,0,0,0
48,admin.,single,secondary,no,1150.0,yes,no,28,may,357,1,no,False,False,True,0,0,357,1
37,admin.,married,secondary,no,121.0,no,no,22,jul,22,6,no,True,False,False,22,0,0,0
34,admin.,married,secondary,no,244.0,yes,no,31,jul,56,4,no,True,False,False,56,0,0,0
30,management,single,tertiary,no,424.0,no,no,16,apr,298,4,yes,True,False,False,298,0,0,1
47,management,divorced,tertiary,no,447.0,no,yes,7,may,126,1,no,False,False,True,0,0,126,0
33,blue-collar,married,primary,no,-195.0,no,no,20,sep,9,1,no,False,False,True,0,0,9,0
56,retired,married,tertiary,no,478.0,no,no,5,feb,97,1,no,True,False,False,97,0,0,0
60,management,single,tertiary,no,0.0,no,yes,23,jul,151,1,no,True,False,False,151,0,0,0
57,management,married,tertiary,no,1602.0,no,no,29,jul,339,3,no,True,False,False,339,0,0,1
44,admin.,married,secondary,no,0.0,yes,yes,16,may,159,1,no,False,False,True,0,0,159,0
31,blue-collar,married,secondary,no,1660.0,yes,no,20,apr,342,1,no,True,False,False,342,0,0,1
35,management,married,tertiary,yes,32.0,yes,no,21,nov,180,1,no,True,False,False,180,0,0,1
39,management,married,tertiary,no,278.0,no,yes,28,jul,60,3,no,True,False,False,60,0,0,0
30,services,single,secondary,no,209.0,yes,no,6,may,264,2,no,False,False,True,0,0,264,1
46,services,married,secondary,no,271.0,yes,no,16,may,134,4,no,False,False,True,0,0,134,0
36,management,single,tertiary,no,339.0,no,no,21,nov,6,6,no,True,False,False,6,0,0,0
42,blue-collar,married,primary,no,0.0,yes,yes,7,may,209,2,no,True,False,False,209,0,0,1
50,housemaid,married,primary,no,395.0,yes,no,15,may,419,2,no,False,False,True,0,0,419,1
49,blue-collar,married,secondary,no,2039.0,yes,no,18,nov,283,2,no,True,False,False,283,0,0,1
23,student,single,secondary,no,780.0,no,no,16,sep,267,1,no,True,False,False,267,0,0,1
38,technician,single,secondary,no,0.0,yes,no,7,apr,196,2,no,True,False,False,196,0,0,1
58,housemaid,married,tertiary,no,497.0,no,no,11,jun,138,5,no,False,False,True,0,0,138,0
41,retired,married,primary,no,55.0,no,no,4,jun,207,1,no,True,False,False,207,0,0,1
38,services,married,secondary,no,-140.0,no,no,25,jun,456,3,no,False,False,True,0,0,456,1
51,technician,married,secondary,no,-379.0,yes,no,5,aug,261,1,no,True,False,False,261,0,0,1
27,services,single,secondary,no,468.0,yes,no,13,may,109,1,no,True,False,False,109,0,0,0
41,blue-collar,married,primary,no,8.0,yes,no,15,jul,155,2,no,True,False,False,155,0,0,0
45,blue-collar,married,primary,no,61.0,no,no,17,apr,108,1,no,True,False,False,108,0,0,0
48,technician,married,secondary,no,302.0,yes,no,26,may,208,3,no,False,False,True,0,0,208,1
32,blue-collar,married,secondary,no,1005.0,no,no,12,may,215,1,no,True,False,False,215,0,0,1
28,blue-collar,single,primary,no,0.0,yes,yes,3,jun,380,4,no,False,False,True,0,0,380,1
41,technician,married,secondary,no,288.0,yes,no,15,may,221,4,no,False,False,True,0,0,221,1
34,admin.,married,secondary,no,613.0,yes,no,4,jun,80,1,no,True,False,False,80,0,0,0
38,blue-collar,married,primary,no,168.0,yes,yes,13,may,212,3,no,False,True,False,0,212,0,1
27,blue-collar,single,secondary,no,148.0,no,no,22,jul,203,1,no,True,False,False,203,0,0,1
48,retired,married,primary,yes,-285.0,no,yes,19,nov,157,1,no,True,False,False,157,0,0,0
50,blue-collar,married,secondary,no,887.0,no,no,16,jun,287,1,no,False,False,True,0,0,287,1
41,technician,married,tertiary,no,744.0,yes,no,14,may,125,1,no,False,False,True,0,0,125,0
39,technician,married,secondary,no,130.0,no,no,8,jul,202,2,no,True,False,False,202,0,0,1
49,management,married,tertiary,no,322.0,no,no,6,aug,72,4,no,True,False,False,72,0,0,0
34,blue-collar,single,secondary,no,186.0,no,no,2,feb,342,1,no,True,False,False,342,0,0,1
42,management,married,tertiary,no,0.0,no,no,13,aug,325,2,no,True,False,False,325,0,0,1
31,services,single,secondary,no,2070.0,no,no,29,aug,319,2,no,True,False,False,319,0,0,1
45,blue-collar,single,primary,no,999.0,no,no,29,jan,182,2,no,True,False,False,182,0,0,1
39,self-employed,married,secondary,no,167.0,yes,yes,17,jul,330,1,no,True,False,False,330,0,0,1
46,technician,married,secondary,no,1322.0,yes,yes,19,nov,514,1,no,True,False,False,514,0,0,1
42,admin.,divorced,secondary,no,1076.0,yes,no,14,may,213,1,no,False,False,True,0,0,213,1
26,technician,single,secondary,no,1216.0,yes,no,16,apr,472,2,no,True,False,False,472,0,0,1
36,services,single,secondary,no,342.0,yes,no,7,may,142,1,no,False,False,True,0,0,142,0
29,blue-collar,single,primary,no,950.0,yes,no,4,jun,135,3,no,False,False,True,0,0,135,0
36,blue-collar,married,primary,no,973.0,yes,yes,23,may,293,1,no,False,False,True,0,0,293,1
32,blue-collar,married,secondary,no,2366.0,yes,no,20,may,127,2,no,False,False,True,0,0,127,0
53,management,married,primary,no,995.0,no,no,4,feb,200,3,no,True,False,False,200,0,0,1
29,management,married,tertiary,no,20.0,yes,no,12,may,418,1,no,True,False,False,418,0,0,1
56,management,married,tertiary,no,217.0,no,yes,21,jul,121,2,no,True,False,False,121,0,0,0
55,entrepreneur,divorced,tertiary,no,0.0,no,no,6,jun,108,2,no,False,False,True,0,0,108,0
31,self-employed,married,tertiary,no,259.0,yes,no,7,may,47,1,no,True,False,False,47,0,0,0
36,management,married,secondary,no,644.0,yes,no,18,nov,54,2,no,True,False,False,54,0,0,0
44,management,married,tertiary,no,22.0,yes,no,6,aug,265,2,no,True,False,False,265,0,0,1
30,admin.,single,secondary,no,239.0,yes,no,7,may,115,3,no,True,False,False,115,0,0,0
30,management,married,tertiary,no,1221.0,yes,no,25,jul,279,4,yes,False,True,False,0,279,0,1
62,retired,married,secondary,no,816.0,no,no,1,sep,28,2,no,True,False,False,28,0,0,0
24,blue-collar,married,secondary,no,1222.0,yes,no,20,apr,369,1,no,True,False,False,369,0,0,1
31,technician,married,secondary,no,2363.0,yes,no,13,may,247,1,no,True,False,False,247,0,0,1
66,retired,married,tertiary,no,2262.0,no,no,22,apr,155,1,no,True,False,False,155,0,0,0
47,admin.,married,secondary,no,2.0,no,no,10,jul,89,1,no,True,False,False,89,0,0,0
39,entrepreneur,married,tertiary,no,2.0,yes,no,17,nov,180,1,no,True,False,False,180,0,0,1
27,technician,married,secondary,no,1577.0,yes,yes,28,may,266,2,no,False,False,True,0,0,266,1
32,blue-collar,married,secondary,no,34.0,yes,no,5,may,321,2,no,True,False,False,321,0,0,1
42,blue-collar,married,secondary,no,117.0,yes,no,9,may,147,1,no,False,False,True,0,0,147,0
40,technician,single,secondary,no,641.0,no,no,16,jul,156,6,no,True,False,False,156,0,0,0
55,unemployed,married,tertiary,no,383.0,no,no,6,may,343,3,no,False,False,True,0,0,343,1
50,blue-collar,married,secondary,no,283.0,yes,no,7,aug,226,3,no,True,False,False,226,0,0,1
45,management,divorced,tertiary,no,0.0,no,no,1,jun,5,1,no,False,False,True,0,0,5,0
39,management,married,tertiary,no,-606.0,yes,no,26,may,142,1,no,False,False,True,0,0,142,0
55,self-employed,married,secondary,no,-196.0,yes,no,20,may,210,2,no,False,False,True,0,0,210,1
38,entrepreneur,married,secondary,yes,15.0,yes,no,10,jul,121,1,no,True,False,False,121,0,0,0
41,management,married,tertiary,no,666.0,yes,no,21,may,253,3,no,False,False,True,0,0,253,1
57,blue-collar,married,primary,no,452.0,yes,no,13,may,139,4,no,False,False,True,0,0,139,0
48,blue-collar,married,secondary,no,149.0,yes,no,9,may,71,1,no,False,False,True,0,0,71,0
35,services,married,secondary,no,1453.0,yes,no,28,may,199,1,no,False,False,True,0,0,199,1
54,blue-collar,married,secondary,no,1480.0,no,no,14,may,108,1,no,False,False,True,0,0,108,0
37,management,single,unknown,no,715.0,yes,no,20,may,247,2,no,False,False,True,0,0,247,1
56,management,single,secondary,no,237.0,yes,no,9,jul,236,4,no,False,True,False,0,236,0,1
54,management,married,tertiary,no,55.0,yes,no,2,jun,112,2,no,True,False,False,112,0,0,0
52,blue-collar,married,primary,no,779.0,yes,no,16,may,30,3,no,False,False,True,0,0,30,0
55,blue-collar,single,primary,no,1187.0,yes,no,2,jun,193,2,no,False,False,True,0,0,193,1
33,management,married,tertiary,no,641.0,yes,no,13,aug,347,2,no,True,False,False,347,0,0,1
46,admin.,married,secondary,no,22.0,no,no,26,aug,388,6,yes,True,False,False,388,0,0,1
42,management,single,tertiary,no,515.0,yes,no,19,nov,501,2,no,True,False,False,501,0,0,1
31,management,married,tertiary,no,13.0,no,no,28,aug,110,5,no,True,False,False,110,0,0,0
19,student,single,primary,no,103.0,no,no,10,jul,104,2,yes,True,False,False,104,0,0,0
31,unemployed,married,secondary,no,296.0,yes,no,20,may,378,3,no,False,False,True,0,0,378,1
52,self-employed,single,primary,no,217.0,no,yes,15,jul,193,6,no,True,False,False,193,0,0,1
42,self-employed,divorced,tertiary,no,360.0,yes,no,24,jun,110,5,no,False,False,True,0,0,110,0
48,management,divorced,tertiary,no,108.0,yes,no,27,may,89,2,no,False,False,True,0,0,89,0
34,technician,married,tertiary,no,691.0,yes,yes,2,jun,70,1,no,False,False,True,0,0,70,0
54,services,married,secondary,no,0.0,no,no,19,jun,220,1,no,False,False,True,0,0,220,1
50,entrepreneur,married,secondary,no,665.0,no,no,17,nov,238,1,no,False,True,False,0,238,0,1
47,blue-collar,married,primary,no,233.0,no,no,8,aug,293,3,no,True,False,False,293,0,0,1
45,services,married,secondary,no,-839.0,yes,yes,28,may,68,3,no,False,False,True,0,0,68,0
49,unemployed,divorced,secondary,no,66.0,no,no,9,jul,218,3,no,True,False,False,218,0,0,1
32,services,single,secondary,no,182.0,yes,no,6,may,145,1,no,True,False,False,145,0,0,0
58,management,married,primary,no,76.0,yes,no,18,may,54,4,no,False,True,False,0,54,0,0
34,admin.,single,secondary,no,663.0,yes,no,20,apr,111,1,no,True,False,False,111,0,0,0
29,blue-collar,married,secondary,no,15.0,no,no,3,jun,136,1,no,True,False,False,136,0,0,0
52,blue-collar,married,primary,no,1054.0,no,no,4,aug,273,1,no,True,False,False,273,0,0,1
45,management,married,tertiary,no,1529.0,no,no,30,jun,160,1,no,True,False,False,160,0,0,0
26,management,single,secondary,no,63.0,no,no,28,jul,76,4,no,True,False,False,76,0,0,0
40,management,married,tertiary,no,0.0,no,no,19,aug,44,1,no,True,False,False,44,0,0,0
41,admin.,married,secondary,no,920.0,yes,yes,27,may,239,1,no,False,False,True,0,0,239,1
48,blue-collar,married,secondary,no,157.0,yes,no,6,may,264,1,no,False,False,True,0,0,264,1
35,blue-collar,married,primary,no,0.0,yes,no,24,jul,90,6,no,True,False,False,90,0,0,0
47,self-employed,married,secondary,yes,2.0,no,no,5,feb,236,2,no,True,False,False,236,0,0,1
54,management,married,tertiary,no,0.0,no,no,16,jul,118,5,no,True,False,False,118,0,0,0
